id,date,overall_rating,pros,cons,sounds_like_hr
empReview_17495196,"Oct 23, 2017",4.0,Great growth and great people.,"As in every startup, things tend to be unstructured",1
empReview_39824426,"Dec 27, 2020",4.0,Used to be great culture now there is none,Management let go people without an ounce of knowledge,0
empReview_53053107,"Sep 24, 2021",3.0,"Competitive packages, good work environment","No work life balance, rotational shifts",0
empReview_8252989,"Oct 10, 2015",4.0,its a very good startup company they got raised 11M$,actually nothing to say about cons.,1
empReview_17495063,"Oct 23, 2017",5.0,fast pace multi cultural environment,Nothing negative to add here,1
empReview_40425826,"Jan 11, 2021",4.0,They pay good salaries and on time.,They don't pay the commission.,0
empReview_53569607,"Oct 5, 2021",2.0,Work and life balance is found,"No career path 
Unprofessional work environment",0
empReview_22644855,"Sep 25, 2018",3.0,Great local brand for your resume,No a lot of investment in people,0
empReview_37077116,"Oct 13, 2020",4.0,Was nice place to work with freedom to grow,management pressure sometimes trickles down,1
empReview_34888771,"Aug 13, 2020",4.0,Nice people & atmosphere in the company,Path os development further are quite limited.,0
empReview_15177934,"May 23, 2017",2.0,nothing is pro while working with company,"Their office is in center of desert where you won't find a single coffee shop.
whole company from the top management to Tech Leaders all seems confused. they don't know what they are doing all of them have no experience of industry but still they get the stars which is good aim to have but no one know how...",0
empReview_13427568,"Jan 22, 2017",4.0,"- Smart Minds
- Everyone is focused and aligned towards the same goals.
- CEO is a great mentor, with plenty to learn from.","- The culture does not promote taking initiative. (specifically the 1 co-founder)
- Pressure is non-stop",0
empReview_15323441,"Jun 4, 2017",5.0,"When I started, my manager told me to you will going to learn too many new things and now one and half year many things learned and still learning tech and business wise, And great place to work.",Few peoples are not working hard they will down value of company and team members.,0
